Phenotype,Read code,Description,DESC_UKHD,DESC_UKHD_30,DESC_UKHD_60,DESC_UKHD_198,Category
AMI                           ,14A3.,H/O: myocardial infarct <60                                                                                                                                                                                                                                    ,H/O: myocardial infarct <60                                                                                                                                                                           ,H/O: myocardial infarct <60   ,,,History of MI (1)                                 
AMI                           ,14A4.,H/O: myocardial infarct >60                                                                                                                                                                                                                                    ,H/O: myocardial infarct >60                                                                                                                                                                           ,H/O: myocardial infarct >60   ,,,History of MI (1)                                 
AMI                           ,14AH.,H/O: Myocardial infarction in last year                                                                                                                                                                                                                        ,H/O: Myocardial infarction in last year                                                                                                                                                               ,H/O: Myoc infarct in last year,H/O: Myocardial infarction in last year                     ,,History of MI (1)                                 
AMI                           ,323..,ECG: myocardial infarction                                                                                                                                                                                                                                     ,ECG: myocardial infarction                                                                                                                                                                            ,ECG: myocardial infarction    ,,,Acute MI not further specified (5)                
AMI                           ,3233,ECG: antero-septal infarct.                                                                                                                                                                                                                                    ,ECG: antero-septal infarct.                                                                                                                                                                           ,ECG: antero-septal infarct.   ,,,Acute MI not further specified (5)                
AMI                           ,3234,ECG:posterior/inferior infarct                                                                                                                                                                                                                                 ,ECG:posterior/inferior infarct                                                                                                                                                                        ,ECG:posterior/inferior infarct,,,Acute MI not further specified (5)                
AMI                           ,3235,ECG: subendocardial infarct                                                                                                                                                                                                                                    ,ECG: subendocardial infarct                                                                                                                                                                           ,ECG: subendocardial infarct   ,,,Acute MI not further specified (5)                
AMI                           ,3236,ECG: lateral infarction                                                                                                                                                                                                                                        ,ECG: lateral infarction                                                                                                                                                                               ,ECG: lateral infarction       ,,,Acute MI not further specified (5)                
AMI                           ,323Z.,ECG: myocardial infarct NOS                                                                                                                                                                                                                                    ,ECG: myocardial infarct NOS                                                                                                                                                                           ,ECG: myocardial infarct NOS   ,,,Acute MI not further specified (5)                
AMI                           ,889A.,Diab mellit insulin-glucose infus acute myocardial infarct                                                                                                                                                                                                     ,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction                                                                                                                             ,Diab mell ins gluc inf ac mi  ,Diab mellit insulin-glucose infus acute myocardial infarct  ,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction                                                                                                                             ,Acute MI not further specified (5)                
AMI                           ,G30..,Acute myocardial infarction                                                                                                                                                                                                                                    ,Acute myocardial infarction                                                                                                                                                                           ,Acute myocardial infarction   ,,,Possible MI or uncertain date (2)                 
AMI                           ,G30..,Acute myocardial infarction                                                                                                                                                                                                                                    ,Acute myocardial infarction                                                                                                                                                                           ,Acute myocardial infarction   ,,,Acute MI not further specified (5)                
AMI                           ,G300.,Acute anterolateral infarction                                                                                                                                                                                                                                 ,Acute anterolateral infarction                                                                                                                                                                        ,Acute anterolateral infarction,,,Acute MI not further specified (5)                
AMI                           ,G301.,Other specified anterior myocardial infarction                                                                                                                                                                                                                 ,Other specified anterior myocardial infarction                                                                                                                                                        ,Anterior myocard. infarct OS  ,Other specified anterior myocardial infarction              ,,Acute MI not further specified (5)                
AMI                           ,G3010,Acute anteroapical infarction                                                                                                                                                                                                                                  ,Acute anteroapical infarction                                                                                                                                                                         ,Acute anteroapical infarction ,,,Acute MI not further specified (5)                
AMI                           ,G3011,Acute anteroseptal infarction                                                                                                                                                                                                                                  ,Acute anteroseptal infarction                                                                                                                                                                         ,Acute anteroseptal infarction ,,,Acute MI not further specified (5)                
AMI                           ,G301z,Anterior myocardial infarction NOS                                                                                                                                                                                                                             ,Anterior myocardial infarction NOS                                                                                                                                                                    ,Anterior myocard.infarct NOS  ,Anterior myocardial infarction NOS                          ,,Acute MI not further specified (5)                
AMI                           ,G302.,Acute inferolateral infarction                                                                                                                                                                                                                                 ,Acute inferolateral infarction                                                                                                                                                                        ,Acute inferolateral infarction,,,Acute MI not further specified (5)                
AMI                           ,G303.,Acute inferoposterior infarction                                                                                                                                                                                                                               ,Acute inferoposterior infarction                                                                                                                                                                      ,Acute inferoposterior infarct ,Acute inferoposterior infarction                            ,,Acute MI not further specified (5)                
AMI                           ,G304.,Posterior myocardial infarction NOS                                                                                                                                                                                                                            ,Posterior myocardial infarction NOS                                                                                                                                                                   ,Posterior myocard.infarct NOS ,Posterior myocardial infarction NOS                         ,,Acute MI not further specified (5)                
AMI                           ,G305.,Lateral myocardial infarction NOS                                                                                                                                                                                                                              ,Lateral myocardial infarction NOS                                                                                                                                                                     ,Lateral myocardial infarct NOS,Lateral myocardial infarction NOS                           ,,Acute MI not further specified (5)                
AMI                           ,G306.,True posterior myocardial infarction                                                                                                                                                                                                                           ,True posterior myocardial infarction                                                                                                                                                                  ,True posterior myocard.infarct,True posterior myocardial infarction                        ,,Acute MI not further specified (5)                
AMI                           ,G307.,Acute subendocardial infarction                                                                                                                                                                                                                                ,Acute subendocardial infarction                                                                                                                                                                       ,Acute subendocardial infarct  ,Acute subendocardial infarction                             ,,Acute MI not further specified (5)                
AMI                           ,G3070,Acute non-Q wave infarction                                                                                                                                                                                                                                    ,Acute non-Q wave infarction                                                                                                                                                                           ,Acute non-Q wave infarction   ,,,Acute MI not further specified (5)                
AMI                           ,G3071,Acute non-ST segment elevation myocardial infarction                                                                                                                                                                                                           ,Acute non-ST segment elevation myocardial infarction                                                                                                                                                  ,Acute non-ST seg elevation mi ,Acute non-ST segment elevation myocardial infarction        ,,NSTEMI (4)                                        
AMI                           ,G308.,Inferior myocardial infarction NOS                                                                                                                                                                                                                             ,Inferior myocardial infarction NOS                                                                                                                                                                    ,Inferior myocard. infarct NOS ,Inferior myocardial infarction NOS                          ,,Acute MI not further specified (5)                
AMI                           ,G309.,Acute Q-wave infarct                                                                                                                                                                                                                                           ,Acute Q-wave infarct                                                                                                                                                                                  ,Acute Q-wave infarct          ,,,Acute MI not further specified (5)                
AMI                           ,G30A.,Mural thrombosis                                                                                                                                                                                                                                               ,Mural thrombosis                                                                                                                                                                                      ,Mural thrombosis              ,,,Possible MI or uncertain date (2)                 
AMI                           ,G30B.,Acute posterolateral myocardial infarction                                                                                                                                                                                                                     ,Acute posterolateral myocardial infarction                                                                                                                                                            ,Acute posterol myocard infarct,Acute posterolateral myocardial infarction                  ,,Acute MI not further specified (5)                
AMI                           ,G30X.,Acute transmural myocardial infarction of unspecif site                                                                                                                                                                                                        ,Acute transmural myocardial infarction of unspecified site                                                                                                                                            ,Ac transmur MI unspec site    ,Acute transmural myocardial infarction of unspecif site     ,Acute transmural myocardial infarction of unspecified site                                                                                                                                            ,Acute MI not further specified (5)                
AMI                           ,G30X0,Acute ST segment elevation myocardial infarction                                                                                                                                                                                                               ,Acute ST segment elevation myocardial infarction                                                                                                                                                      ,Acute ST segment elevation mi ,Acute ST segment elevation myocardial infarction            ,,STEMI (3)                                         
