"(""name"",""terminology"",""code"",""term"",""code_type"",""RecordDate"",),"
"(""diabetes_drugs"",""DMD"",""325278007"",""Product containing precisely metformin hydrochloride 500 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""325242002"",""Product containing precisely gliclazide 80 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""386047000"",""Metformin hydrochloride 500mg m/r tablet (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""19525211000001103"",""Linagliptin 5mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""424345005"",""Product containing precisely sitagliptin (as sitagliptin phosphate) 100 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""24568411000001100"",""Sukkarto SR 500mg tablets (Morningside Healthcare Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""16702011000001102"",""Gliclazide 40mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""24568211000001104"",""Sukkarto SR 1000mg tablets (Morningside Healthcare Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""411533003"",""Metformin hydrochloride 1g m/r tablet (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""23637411000001103"",""Alogliptin 25mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""325279004"",""Product containing precisely metformin hydrochloride 850 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""703680009"",""Product containing precisely dapagliflozin propanediol 10 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3282211000001106"",""NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""11933011000001106"",""Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""25290511000001101"",""Empagliflozin 10mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3277211000001104"",""NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3279211000001105"",""NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Pharmaceuticals Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""25290611000001102"",""Empagliflozin 25mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""17609511000001109"",""Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""134587001"",""Gliclazide 30mg m/r tablet (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""7589411000001100"",""Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""17608511000001103"",""Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""424513004"",""Product containing precisely sitagliptin (as sitagliptin phosphate) 50 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""326061000"",""Product containing precisely pioglitazone (as pioglitazone hydrochloride) 30 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""8990711000001100"",""Glucophage SR 500mg tablets (Merck Pharmaceuticals) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""15859111000001102"",""Liraglutide 18mg/3ml solution for injection pre-filled disposable devices (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""703682001"",""Product containing precisely canagliflozin 100 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""28462311000001103"",""Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""374897009"",""Product containing precisely pioglitazone (as pioglitazone hydrochloride) 45 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""15858611000001101"",""Victoza 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""24104511000001103"",""Canagliflozin 300mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""325263000"",""Product containing precisely glimepiride 4 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""21930011000001100"",""Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""29866811000001104"",""Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens (Sanofi) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""28789711000001104"",""Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""326062007"",""Product containing precisely pioglitazone (as pioglitazone hydrochloride) 15 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""7589911000001108"",""Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Pharmaceuticals Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""23637311000001105"",""Alogliptin 12.5mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""13877811000001105"",""Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""443713000"",""Product containing precisely saxagliptin 5 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3284311000001105"",""Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly & Co Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""325259007"",""Product containing precisely glimepiride 2 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3284211000001102"",""Lantus 100units/ml solution for injection 3ml cartridges (Aventis Pharma) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3280711000001103"",""NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Pharmaceuticals Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""35547511000001101"",""Yaltormin SR 500mg tablets (Wockhardt UK Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""409361001"",""Metformin hydrochloride 750mg m/r tablet (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""30171811000001105"",""Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""15367811000001105"",""Glucophage SR 1000mg tablets (Merck Serono Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""17071811000001108"",""Metformin 1g / Sitagliptin 50mg tablets (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""325261003"",""Product containing precisely glimepiride 1 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3277811000001103"",""NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Pharmaceuticals Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""13884711000001104"",""Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""3273611000001105"",""Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly & Co Ltd) (product)"",""1"",""20210127"",),"
"(""diabetes_drugs"",""DMD"",""423962004"",""Product containing precisely sitagliptin (as sitagliptin phosphate) 25 milligram/1 each conventional release oral tablet (clinical drug)"",""1"",""20210127"",),"
